"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:YPL217C",5526.13433645024,1.31334972492449,0.342199424226355,3.83796591094131,0.000124057698999433,0.000645805808783791
"gene:YDR361C",2453.39314303028,1.10581233888824,0.288162777634009,3.83745724540703,0.000124314869603234,0.000646027325416555
"gene:YNL248C",6049.11035022606,1.5313857312194,0.399397352369681,3.83424106878392,0.000125952571094018,0.000653648681701468
"gene:YOR215C",7433.90385055519,-1.33288690909492,0.347953018442486,-3.83065195140773,0.000127804179116173,0.000661978285618853
"gene:YJL045W",9415.47333741708,-1.03704345976099,0.270966727524546,-3.82719852446475,0.000129609978797846,0.000670492289047157
"gene:YNL292W",1076.54247267031,1.05835200637712,0.276588712949432,3.82644683903141,0.000130006209355646,0.000672008286931211
"gene:YHR197W",4109.12166342418,1.61910881384626,0.423473245238115,3.82340285260726,0.000131622464979422,0.00067982324695557
"gene:YDR165W",3540.0872063085,1.41300824638015,0.369610450834972,3.82296616123294,0.000131855880649496,0.00068048918436622
"gene:YLR414C",2713.12313714981,1.15263783454291,0.301542857182766,3.82246770927255,0.000132122784611323,0.000681326758648887
"gene:YJL068C",3867.81480307505,-1.01532863175326,0.265887844732891,-3.81863500670086,0.000134192137813007,0.000690903868439618
"gene:YKR069W",10325.4406334331,1.06838557954921,0.280019115888022,3.8154023026644,0.000135961241593919,0.000699459373223691
"gene:YNL119W",3150.27559826223,1.01565118152116,0.266217054701904,3.81512440162194,0.000136114344737421,0.000699694338812014
"gene:YPL183C",6107.2988539669,1.09360702282621,0.287052095558557,3.80978588816163,0.000139087191854164,0.000713849393653404
"gene:YKL197C",2882.6976165605,-1.12060548063126,0.294171055352457,-3.80936689807439,0.000139323084105627,0.00071449704470862
"gene:YBR117C",34854.5355364742,-1.37714953236229,0.361834099628905,-3.80602473281176,0.000141218267053923,0.00072307749475016
"gene:YIL030W-A",59.7674110346426,-1.36479670718194,0.35926980613044,-3.79880714686728,0.000145394168243677,0.000743290594796759
"gene:YKR075C",5442.42510162956,-1.09694020091926,0.288948168288522,-3.79632169816676,0.000146858901013571,0.000750189821412852
"gene:YPR132W",9167.87147538561,1.12642538708356,0.296848827609088,3.79460951945184,0.000147875998156695,0.000754202330457756
"gene:YBR145W",1845.06846576578,1.05691321851638,0.278788583309239,3.79109218164803,0.000149986269286872,0.000764366644652109
"gene:YEL023C",17718.8790066751,-1.37775418617037,0.363904208365498,-3.78603532055498,0.00015306992699337,0.000778692263562564
"gene:YFL001W",1693.79386910711,1.07160691841575,0.283052421103785,3.78589560985536,0.000153155963399915,0.000778692263562564
