"term","gene"
"GO:0090337","BUD14"
"GO:0006164","ADE1"
"GO:0006189","ADE1"
"GO:0009152","ADE1"
"GO:0007059","KIN3"
"GO:0000281","CDC15"
"GO:0007096","CDC15"
"GO:0051229","CDC15"
"GO:0051301","CDC15"
"GO:1903024","CDC15"
"GO:1904750","CDC15"
"GO:0008150","PAU7"
"GO:0008150","DFP1"
"GO:0008150","UIP3"
"GO:0097237","KTD1"
"GO:0008150","DFP2"
"GO:0008150","PRM9"
"GO:0016192","PRM9"
"GO:0015031","MST28"
"GO:0016050","MST28"
"GO:0016192","MST28"
"GO:0006629","YAT1"
"GO:0006631","YAT1"
"GO:0009437","YAT1"
"GO:0006869","SWH1"
"GO:0006887","SWH1"
"GO:0006897","SWH1"
"GO:0015918","SWH1"
"GO:0030011","SWH1"
"GO:0034727","SWH1"
"GO:0000128","FLO1"
"GO:0008150","YAR064W"
"GO:0008150","YAR068W"
"GO:0006796","PHO11"
"GO:0008150","ECM15"
"GO:0006325","HTB2"
"GO:0006355","HTB2"
"GO:0006281","HTA2"
"GO:0006325","HTA2"
"GO:0006974","HTA2"
"GO:0000447","UTP20"
"GO:0000472","UTP20"
"GO:0000480","UTP20"
"GO:0006364","UTP20"
"GO:0030490","UTP20"
"GO:0042254","UTP20"
"GO:0006351","PDR3"
"GO:0006355","PDR3"
"GO:0045944","PDR3"
"GO:0071466","PDR3"
"GO:2001040","PDR3"
"GO:0006325","LDB7"
"GO:0006337","LDB7"
"GO:0006338","LDB7"
"GO:0006368","LDB7"
"GO:0000147","SLA1"
"GO:0006897","SLA1"
"GO:0034315","SLA1"
"GO:0034316","SLA1"
"GO:0071554","SLA1"
"GO:0071555","SLA1"
"GO:0000122","HIR1"
"GO:0006325","HIR1"
"GO:0006334","HIR1"
"GO:0006338","HIR1"
"GO:0006351","HIR1"
"GO:0006355","HIR1"
"GO:0006368","HIR1"
"GO:0016480","HIR1"
"GO:0034728","HIR1"
"GO:1902275","HIR1"
"GO:0044879","ALK2"
"GO:0000278","ALK2"
"GO:0006338","ALK2"
"GO:0006974","ALK2"
"GO:0031503","LAA2"
"GO:0035653","LAA2"
"GO:0015031","LAA2"
"GO:0006629","SCT1"
"GO:0006644","SCT1"
"GO:0008654","SCT1"
"GO:0016024","SCT1"
"GO:0006412","FMT1"
"GO:0006413","FMT1"
"GO:0071951","FMT1"
"GO:0006361","RRN6"
"GO:0042790","RRN6"
"GO:0006083","ACH1"
"GO:0000749","FUS3"
"GO:0000750","FUS3"
"GO:0001403","FUS3"
"GO:0010526","FUS3"
"GO:0043409","FUS3"
"GO:0046827","FUS3"
"GO:0051301","FUS3"
"GO:0071507","FUS3"
"GO:0000423","PEP1"
"GO:0000425","PEP1"
"GO:0006623","PEP1"
"GO:0006892","PEP1"
"GO:0007034","PEP1"
"GO:0015031","PEP1"
"GO:0048203","PEP1"
"GO:0000294","POP8"
"GO:0000460","POP8"
"GO:0001682","POP8"
"GO:0006364","POP8"
"GO:0008033","POP8"
"GO:0034965","POP8"
"GO:0006281","APN2"
