"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:YNL232W",2933.58128637731,0.933725782628078,0.179747807834945,5.19464350566924,2.05112503094206e-07,2.28358586778216e-06
"gene:YLL017W",244.259444559981,-1.66536863887337,0.320678741988731,-5.19326173149293,2.06641355937154e-07,2.29668114542438e-06
"gene:YLR216C",5360.08779496215,-0.930678157665285,0.179298505972698,-5.19066320500741,2.09546357476704e-07,2.32500072614271e-06
"gene:YIL055C",3224.36145233339,-1.03785532086505,0.199967870098463,-5.19011039300474,2.1016944061531e-07,2.32794824273387e-06
"gene:YGR123C",3786.45665056499,1.57643386739048,0.304396511109274,5.17888283819576,2.23218597917133e-07,2.46828986117875e-06
"gene:YNL128W",1223.88752736492,-1.34935992816422,0.260790541013433,-5.17411376547861,2.2899527260718e-07,2.52787493303486e-06
"gene:YIL052C",6880.27321810845,1.29571533491804,0.250610239497072,5.17024099860526,2.33792293454299e-07,2.57646227964103e-06
"gene:YGL116W",2661.92408434651,-1.31001743704833,0.253514218570463,-5.16743180889564,2.37332513408638e-07,2.60769906145083e-06
"gene:YHR020W",10902.9978537683,1.37956375710366,0.266976670270998,5.16735696682155,2.37427536226062e-07,2.60769906145083e-06
"gene:YCR018C",1737.0661437629,-1.98096994963761,0.383652793652135,-5.16344461037288,2.42446345933178e-07,2.65134501220598e-06
"gene:YJL157C",387.007781240688,-1.54400532012984,0.299016172093136,-5.16361810574219,2.42221628872257e-07,2.65134501220598e-06
"gene:YPL109C",3833.38743058352,-1.35811289602651,0.263031519210682,-5.16330856507996,2.4262269726313e-07,2.65134501220598e-06
"gene:YMR278W",3557.37123646732,-1.13152550070117,0.219218263403106,-5.16163883033997,2.44797242640627e-07,2.67062720488845e-06
"gene:YHL039W",4068.67541501714,1.0477846873786,0.203069042966366,5.15974602565173,2.47285069431642e-07,2.69325695185332e-06
"gene:YJR061W",3052.07973820817,-0.926029440844364,0.179755690709461,-5.15160013677177,2.58273257002084e-07,2.80823659908944e-06
"gene:YML106W",7047.54711412725,1.17469638295778,0.22808511218556,5.15025453306262,2.6013318484621e-07,2.82374572150561e-06
"gene:YOR369C",15671.7985667517,1.69048407668065,0.328559009235618,5.14514601384241,2.67312812053064e-07,2.89685248735708e-06
"gene:YPL166W",875.014702822785,-1.01507050518445,0.197299809337345,-5.14481239791201,2.67788282263618e-07,2.89718452223081e-06
"gene:YPL143W",6110.32599612769,1.4594510209112,0.284625362298246,5.12762112668618,2.93426193835832e-07,3.16929485978901e-06
"gene:YHR172W",1532.94832304543,-0.964016024895193,0.188052776679816,-5.12630572074219,2.95482660656968e-07,3.1862227961239e-06
"gene:YEL042W",7184.51472724541,1.02543088332713,0.200054892496513,5.12574759122678,2.96359422973069e-07,3.19039491210512e-06
"gene:YPL014W",630.498938377543,-0.959663039899421,0.187399717418778,-5.12094176617611,3.04013526316066e-07,3.2673928991692e-06
"gene:YDL110C",6897.89277946974,-1.55134885875479,0.302962186628719,-5.12060226399134,3.04561401061155e-07,3.26788864104004e-06
"gene:YHR015W",5383.61368733021,-1.92628255839246,0.376236972088887,-5.11986514163572,3.05754222918149e-07,3.27529153596366e-06
"gene:YHR148W",1430.12430445731,1.74863134166848,0.341740951090286,5.11683289956814,3.10708656319594e-07,3.32289897965438e-06
"gene:YFR032C-A",1536.35051225164,1.71016079729697,0.334591183646641,5.1111950370547,3.20127271698472e-07,3.41801462388877e-06
"gene:YJL153C",21087.6596235888,0.999839294775024,0.195638553824556,5.11064550023027,3.21059933183897e-07,3.42236226649217e-06
"gene:YGR088W",113984.956883719,-1.68680866357709,0.33009004479121,-5.11014703471,3.21908186132794e-07,3.42579741222694e-06
"gene:YDR064W",14330.5744081332,1.46464770680799,0.286748332530471,5.10778107716579,3.25963998557411e-07,3.46330101566789e-06
"gene:YGR237C",2831.68417544712,-0.908551494822287,0.178014975694132,-5.10379248307386,3.32913328971603e-07,3.53137542604568e-06
"gene:YLR420W",1577.4514355545,0.944296215485976,0.185184247726988,5.09922537730166,3.41046281046351e-07,3.61176329830062e-06
"gene:YBL092W",13802.8313377043,1.27790565472904,0.25064544315372,5.0984595556573,3.42428674786191e-07,3.62051616701699e-06
"gene:YGR061C",22684.0010957909,1.63491235468798,0.320760607464692,5.09698609068742,3.45103674368612e-07,3.64288530172247e-06
"gene:YNL282W",530.801683762097,1.40680900103169,0.276094622340964,5.09538718684043,3.48029220092436e-07,3.66782250883825e-06
"gene:YPR043W",4956.90574550519,1.60530596011939,0.315110661682268,5.09441969227322,3.4981107370909e-07,3.68064543306511e-06
"gene:YFL022C",8898.36382014658,1.34818111310513,0.265029891874028,5.08690209837138,3.6395959086837e-07,3.82333679891241e-06
"gene:YAL018C",9880.94908253156,-1.70719500888159,0.33578975465791,-5.08411881303769,3.69336700235774e-07,3.87357476430852e-06
"gene:YML082W",3051.0579364529,1.03795314468545,0.204213426483489,5.08268806100942,3.72130566158912e-07,3.89660189291478e-06
"gene:YOR349W",3502.77958495547,1.0117884673935,0.199121227072366,5.08126874401889,3.74922249635974e-07,3.91953228230995e-06
"gene:YLL053C",335.295603274559,1.95946105349276,0.385669630021498,5.08067242262124,3.76101186464152e-07,3.92555613371958e-06
"gene:YKR077W",727.528685215266,-1.25733618617322,0.247730869393773,-5.07541183402002,3.8665761251858e-07,4.02928164853362e-06
"gene:YHR141C",4605.14769623068,1.44028355975027,0.284178158286164,5.06824158632176,4.01507603802047e-07,4.17734668300756e-06
"gene:YGR068C",1704.24778008146,1.19184350476311,0.235569005627004,5.05942410204104,4.20524618641735e-07,4.36822462713496e-06
"gene:YLR325C",8383.79156052989,1.60571687662324,0.318079470765135,5.04816256377915,4.46079505930792e-07,4.62629907982046e-06
"gene:YOL121C",4862.73886474066,1.5317604735005,0.303494540651408,5.04707751978931,4.48619360676855e-07,4.64524307804191e-06
"gene:YNL304W",415.629404957906,-1.05633226452607,0.20930851602282,-5.04677155329362,4.49338080256145e-07,4.64529986779091e-06
"gene:YIL133C",8131.62055187371,1.22284453079884,0.242664405436973,5.03924145198314,4.67380544974632e-07,4.82416717816129e-06
"gene:YPR058W",1742.00899100186,1.11262982051656,0.220897747116879,5.03685454034014,4.73244131891939e-07,4.87696049210791e-06
"gene:YIL144W",3582.67264176381,-1.23897057598791,0.24623422061225,-5.03167501619908,4.86212960457269e-07,5.0026935410082e-06
"gene:YLR113W",4190.19084869989,0.819225722215638,0.163119656255797,5.02223791430117,5.10728631417312e-07,5.24664917416554e-06
"gene:YER065C",91035.4866010498,1.24577267865421,0.248363118789875,5.01593265829528,5.2776813339953e-07,5.41315567374983e-06
"gene:YLR083C",5152.99203003107,1.13342245895994,0.226025478326381,5.0145783004307,5.31499052947828e-07,5.44285115070629e-06
"gene:YJL131C",486.79100104634,-1.04652898775939,0.208791507763763,-5.0123158693958,5.37788281587101e-07,5.49861079745179e-06
"gene:YNL082W",1497.88607559815,-0.962710280876475,0.192116899490572,-5.01106505169119,5.41296111691628e-07,5.52580184239431e-06
"gene:YDR012W",18133.3882985611,1.3593331745457,0.271506060699683,5.00664026078328,5.53883047245323e-07,5.63662544798248e-06
"gene:YHR202W",3175.10879248769,-1.1445655557345,0.22860117085935,-5.0068228059895,5.53358236998452e-07,5.63662544798248e-06
"gene:YFR055W",347.99478317381,1.03671143684783,0.207141664984048,5.00484263717621,5.59076840417077e-07,5.68060446433139e-06
"gene:YJR063W",1478.10504262868,1.60356178818028,0.320547605723571,5.00256985092919,5.65710739915108e-07,5.73905615119486e-06
